row_abs,keywords_llm,raw_response
601,"[""runge-kutta methods"", ""delay integro-differential equations"", ""stability analysis"", ""numerical methods"", ""linear equations""]","{""keywords"": [""runge-kutta methods"", ""delay integro-differential equations"", ""stability analysis"", ""numerical methods"", ""linear equations""]}"
602,"[""heat conduction"", ""inverse problem"", ""tikhonov regularization"", ""sor iteration"", ""numerical solution""]","{""keywords"": [""heat conduction"", ""inverse problem"", ""tikhonov regularization"", ""SOR iteration"", ""numerical solution""]}"
603,"[""differential calculus"", ""complex-valued vector functions"", ""vector norm"", ""vibration problems"", ""mathematics""]","{""keywords"": [""differential calculus"", ""complex-valued vector functions"", ""vector norm"", ""vibration problems"", ""mathematics""]}"
604,"[""polynomials"", ""quantum optics"", ""integral representation"", ""hermite polynomials"", ""photon statistics""]","{""keywords"": [""polynomials"", ""quantum optics"", ""integral representation"", ""hermite polynomials"", ""photon statistics""]}"
605,"[""pal-type interpolation"", ""regularity"", ""interpolation problems"", ""zeros"", ""subset""]","{""keywords"": [""pal-type interpolation"", ""regularity"", ""interpolation problems"", ""zeros"", ""subset""]}"
606,"[""weighted spaces"", ""orthonormal expansions"", ""exponential weights"", ""boundedness"", ""partial sums""]","{""keywords"": [""weighted spaces"", ""orthonormal expansions"", ""exponential weights"", ""boundedness"", ""partial sums""]}"
607,"[""jacobi polynomials"", ""orthogonality"", ""sobolev orthogonality"", ""jacobi polynomials parameters"", ""negative integer numbers""]","{""keywords"": [""jacobi polynomials"", ""orthogonality"", ""sobolev orthogonality"", ""jacobi polynomials parameters"", ""negative integer numbers""]}"
608,"[""preconditioner"", ""gauss-seidel method"", ""iterative method"", ""matrix analysis"", ""numerical examples""]","{""keywords"": [""preconditioner"", ""gauss-seidel method"", ""iterative method"", ""matrix analysis"", ""numerical examples""]}"
609,"[""alarm correlation"", ""cellular phone networks"", ""logic programming"", ""mobile phone networks"", ""network operators""]","{""keywords"": [""alarm correlation"", ""cellular phone networks"", ""logic programming"", ""mobile phone networks"", ""network operators""]}"
610,"[""chaotic systems"", ""determinantal solutions"", ""solvable systems"", ""riccati equations"", ""difference equations""]","{""keywords"": [""chaotic systems"", ""determinantal solutions"", ""solvable systems"", ""riccati equations"", ""difference equations""]}"
611,"[""piecewise analytic functions"", ""integration"", ""algorithms"", ""compact interval"", ""numerical comparisons""]","{""keywords"": [""piecewise analytic functions"", ""integration"", ""algorithms"", ""compact interval"", ""numerical comparisons""]}"
612,"[""integral equations"", ""bessel functions"", ""two-dimensional"", ""singular integral"", ""mathematical solutions""]","{""keywords"": [""integral equations"", ""bessel functions"", ""two-dimensional"", ""singular integral"", ""mathematical solutions""]}"
613,"[""elliptical distributions"", ""probability distributions"", ""statistical tests"", ""hypothesis testing"", ""distance metric""]","{""keywords"": [""elliptical distributions"", ""probability distributions"", ""statistical tests"", ""hypothesis testing"", ""distance metric""]}"
614,"[""goodness-of-fit"", ""asymptotic normality"", ""divergence tests"", ""statistical efficiency"", ""sample size""]","{""keywords"": [""goodness-of-fit"", ""asymptotic normality"", ""divergence tests"", ""statistical efficiency"", ""sample size""]}"
615,"[""lag windows"", ""jacobi polynomials"", ""spectral density"", ""bias variance"", ""window bandwidth""]","{""keywords"": [""lag windows"", ""jacobi polynomials"", ""spectral density"", ""bias variance"", ""window bandwidth""]}"
616,"[""numerical shadowing"", ""functional differential equations"", ""stable manifolds"", ""retarded equations"", ""numerical approximations""]","{""keywords"": [""numerical shadowing"", ""functional differential equations"", ""stable manifolds"", ""retarded equations"", ""numerical approximations""]}"
617,"[""asymptotic expansions"", ""zeros of functions"", ""cosine-integral"", ""struve function"", ""kelvin functions""]","{""keywords"": [""asymptotic expansions"", ""zeros of functions"", ""cosine-integral"", ""struve function"", ""kelvin functions""]}"
618,"[""artificial life"", ""linguistics"", ""language structure"", ""computational simulation"", ""theoretical linguistics""]","{""keywords"": [""artificial life"", ""linguistics"", ""language structure"", ""computational simulation"", ""theoretical linguistics""]}"
619,"[""self-replication"", ""hardware implementation"", ""bio-inspired"", ""loop design"", ""user control""]","{""keywords"": [""self-replication"", ""hardware implementation"", ""bio-inspired"", ""loop design"", ""user control""]}"
620,"[""facial features"", ""eigenfeatures"", ""ensemble networks"", ""facial size"", ""multilayer perceptron""]","{""keywords"": [""facial features"", ""eigenfeatures"", ""ensemble networks"", ""facial size"", ""multilayer perceptron""]}"
621,"[""reversible cellular automata"", ""three-dimensional nano-scaled"", ""self-reproduction"", ""power dissipation"", ""cellular space""]","{""keywords"": [""reversible cellular automata"", ""three-dimensional nano-scaled"", ""self-reproduction"", ""power dissipation"", ""cellular space""]}"
622,"[""emergent control"", ""distributed environmental control"", ""gaia theory"", ""artificial life"", ""microbial populations""]","{""keywords"": [""emergent control"", ""distributed environmental control"", ""gaia theory"", ""artificial life"", ""microbial populations""]}"
623,"[""ant colony optimization"", ""stochastic gradient descent"", ""pheromones"", ""algorithms"", ""optimization""]","{""keywords"": [""ant colony optimization"", ""stochastic gradient descent"", ""pheromones"", ""algorithms"", ""optimization""]}"
624,"[""content management"", ""disabled access"", ""website accessibility"", ""customer group"", ""disability inclusion""]","{""keywords"": [""content management"", ""disabled access"", ""website accessibility"", ""customer group"", ""disability inclusion""]}"
625,"[""e-business"", ""records management"", ""standards"", ""strategy"", ""role""]","{""keywords"": [""e-business"", ""records management"", ""standards"", ""strategy"", ""role""]}"
626,"[""neural networks"", ""air quality"", ""fuzzy logic"", ""knowledge-based system"", ""prediction models""]","{""keywords"": [""neural networks"", ""air quality"", ""fuzzy logic"", ""knowledge-based system"", ""prediction models""]}"
627,"[""workflow"", ""content management"", ""portal"", ""information management"", ""vendor""]","{""keywords"": [""workflow"", ""content management"", ""portal"", ""information management"", ""vendor""]}"
628,"[""content management"", ""workflow"", ""records management"", ""document management"", ""null""]","{""keywords"": [""content management"", ""workflow"", ""records management"", ""document management"", ""null""]}"
629,"[""content management"", ""strategy"", ""andersons"", ""contentment"", ""management strategy""]","{""keywords"": [""content management"", ""strategy"", ""andersons"", ""contentment"", ""management strategy""]}"
630,"[""document management"", ""content management"", ""workflow"", ""law firm"", ""global system""]","{""keywords"": [""document management"", ""content management"", ""workflow"", ""law firm"", ""global system""]}"
631,"[""resource-bounded reasoning"", ""progressive reasoning"", ""multiple methods approach"", ""approximate processing"", ""incremental processing""]","{""keywords"": [""resource-bounded reasoning"", ""progressive reasoning"", ""multiple methods approach"", ""approximate processing"", ""incremental processing""]}"
632,"[""records management"", ""workflow management"", ""content management"", ""electronic records"", ""policy development""]","{""keywords"": [""records management"", ""workflow management"", ""content management"", ""electronic records"", ""policy development""]}"
633,"[""riemannian manifolds"", ""quadratic interpolation"", ""trajectory planning"", ""rigid body motion"", ""decastlejeau algorithm""]","{""keywords"": [""riemannian manifolds"", ""quadratic interpolation"", ""trajectory planning"", ""rigid body motion"", ""decastlejeau algorithm""]}"
634,"[""hermite interpolation"", ""spatial pythagorean-hodograph curves"", ""quaternions"", ""hermite data"", ""quadratic equations""]","{""keywords"": [""hermite interpolation"", ""spatial pythagorean-hodograph curves"", ""quaternions"", ""hermite data"", ""quadratic equations""]}"
635,"[""parabolic equations"", ""legendre tau methods"", ""spectral method"", ""fourier approximation"", ""galerkin methods""]","{""keywords"": [""parabolic equations"", ""legendre tau methods"", ""spectral method"", ""fourier approximation"", ""galerkin methods""]}"
636,"[""multilayer perceptrons"", ""ridge functions"", ""gradient algorithms"", ""neural networks"", ""univariate functions""]","{""keywords"": [""multilayer perceptrons"", ""ridge functions"", ""gradient algorithms"", ""neural networks"", ""univariate functions""]}"
637,"[""finite element"", ""multilevel linearization"", ""d-wave superconductors"", ""ginzburg-landau model"", ""error estimates""]","{""keywords"": [""finite element"", ""multilevel linearization"", ""d-wave superconductors"", ""ginzburg-landau model"", ""error estimates""]}"
638,"[""acoustic scattering"", ""wavelet algorithm"", ""boundary integral equation"", ""collocation method"", ""preconditioners""]","{""keywords"": [""acoustic scattering"", ""wavelet algorithm"", ""boundary integral equation"", ""collocation method"", ""preconditioners""]}"
639,"[""test selection"", ""metaheuristics"", ""telecommunication"", ""genetic algorithms"", ""simulated annealing""]","{""keywords"": [""test selection"", ""metaheuristics"", ""telecommunication"", ""genetic algorithms"", ""simulated annealing""]}"
640,"[""product/service positioning"", ""decision support model"", ""marketing research"", ""consumer benefits"", ""target markets""]","{""keywords"": [""product/service positioning"", ""decision support model"", ""marketing research"", ""consumer benefits"", ""target markets""]}"
641,"[""fuzzy decision theory"", ""linguistic criteria evaluation"", ""fuzzy numbers"", ""consensus condition"", ""fuzzy rating""]","{""keywords"": [""fuzzy decision theory"", ""linguistic criteria evaluation"", ""fuzzy numbers"", ""consensus condition"", ""fuzzy rating""]}"
642,"[""mass multi-agent systems"", ""micro sphere"", ""macro sphere"", ""evolutionary model"", ""multiobjective optimisation""]","{""keywords"": [""mass multi-agent systems"", ""micro sphere"", ""macro sphere"", ""evolutionary model"", ""multiobjective optimisation""]}"
643,"[""information professionals"", ""paperwork organization"", ""document management"", ""information retrieval"", ""paper trails""]","{""keywords"": [""information professionals"", ""paperwork organization"", ""document management"", ""information retrieval"", ""paper trails""]}"
644,"[""renal transplantation"", ""fuzzy logic"", ""kidney allocation"", ""expert system"", ""decision making""]","{""keywords"": [""renal transplantation"", ""fuzzy logic"", ""kidney allocation"", ""expert system"", ""decision making""]}"
645,"[""facilities location"", ""market share"", ""simulated annealing"", ""ascent algorithm"", ""competitive facilities""]","{""keywords"": [""facilities location"", ""market share"", ""simulated annealing"", ""ascent algorithm"", ""competitive facilities""]}"
646,"[""software reuse"", ""optimization approach"", ""software components"", ""productivity improvements"", ""project management""]","{""keywords"": [""software reuse"", ""optimization approach"", ""software components"", ""productivity improvements"", ""project management""]}"
647,"[""stochastic batch service"", ""adaptive dynamic programming"", ""optimal strategies"", ""monotonicity value functions"", ""service capacity""]","{""keywords"": [""stochastic batch service"", ""adaptive dynamic programming"", ""optimal strategies"", ""monotonicity value functions"", ""service capacity""]}"
648,"[""supply chain"", ""demand information"", ""bullwhip effect"", ""cost savings"", ""mathematical models""]","{""keywords"": [""supply chain"", ""demand information"", ""bullwhip effect"", ""cost savings"", ""mathematical models""]}"
649,"[""mixed chinese postman problem"", ""greedy randomized adaptive search procedure"", ""mixed graph"", ""chinese postman problem"", ""arc routing problems""]","{""keywords"": [""mixed chinese postman problem"", ""greedy randomized adaptive search procedure"", ""mixed graph"", ""chinese postman problem"", ""arc routing problems""]}"
650,"[""single machine scheduling"", ""earliness tardiness penalties"", ""resource consumption"", ""dynamic programming"", ""scheduling problem""]","{""keywords"": [""single machine scheduling"", ""earliness tardiness penalties"", ""resource consumption"", ""dynamic programming"", ""scheduling problem""]}"
651,"[""railway networks"", ""queueing network model"", ""performance measures"", ""mean delays"", ""network designs""]","{""keywords"": [""railway networks"", ""queueing network model"", ""performance measures"", ""mean delays"", ""network designs""]}"
652,"[""geometric process"", ""multistate system"", ""degenerative system"", ""optimal policy"", ""long-run average cost""]","{""keywords"": [""geometric process"", ""multistate system"", ""degenerative system"", ""optimal policy"", ""long-run average cost""]}"
653,"[""efficiency evaluation"", ""data envelopment analysis"", ""decision making units"", ""undesirable factors"", ""performance improvement""]","{""keywords"": [""efficiency evaluation"", ""data envelopment analysis"", ""decision making units"", ""undesirable factors"", ""performance improvement""]}"
654,"[""e-books"", ""business model"", ""reading devices"", ""sustainable development"", ""library services""]","{""keywords"": [""e-books"", ""business model"", ""reading devices"", ""sustainable development"", ""library services""]}"
655,"[""multi-objective optimization"", ""heating optimization"", ""goal programming"", ""dynamic programming"", ""energy consumption""]","{""keywords"": [""multi-objective optimization"", ""heating optimization"", ""goal programming"", ""dynamic programming"", ""energy consumption""]}"
656,"[""data mining"", ""business intelligence"", ""competitive advantage"", ""information technology"", ""data warehousing""]","{""keywords"": [""data mining"", ""business intelligence"", ""competitive advantage"", ""information technology"", ""data warehousing""]}"
657,"[""high-power-factor"", ""harmonic suppression"", ""distribution system"", ""rectifier circuit"", ""input current waveform""]","{""keywords"": [""high-power-factor"", ""harmonic suppression"", ""distribution system"", ""rectifier circuit"", ""input current waveform""]}"
658,"[""power transmission"", ""wavelet transform"", ""fault location"", ""surge generated"", ""fpga processor""]","{""keywords"": [""power transmission"", ""wavelet transform"", ""fault location"", ""surge generated"", ""fpga processor""]}"
659,"[""laguerre approximation"", ""fractional systems"", ""orthogonal polynomials"", ""rational transfer functions"", ""minimum phase""]","{""keywords"": [""laguerre approximation"", ""fractional systems"", ""orthogonal polynomials"", ""rational transfer functions"", ""minimum phase""]}"
660,"[""pitch post-processing"", ""robust statistics"", ""pitch error rates"", ""uncertainty term"", ""median filtering""]","{""keywords"": [""pitch post-processing"", ""robust statistics"", ""pitch error rates"", ""uncertainty term"", ""median filtering""]}"
661,"[""adaptive array antenna"", ""radial basis function"", ""multiuser detection"", ""wcdma system"", ""optimal combining""]","{""keywords"": [""adaptive array antenna"", ""radial basis function"", ""multiuser detection"", ""wcdma system"", ""optimal combining""]}"
662,"[""rbf networks"", ""pattern classification"", ""machine learning"", ""neural networks"", ""classification rate""]","{""keywords"": [""rbf networks"", ""pattern classification"", ""machine learning"", ""neural networks"", ""classification rate""]}"
663,"[""rate allocation"", ""video transmission"", ""lossy networks"", ""bursty packet losses"", ""gilbert-elliot model""]","{""keywords"": [""rate allocation"", ""video transmission"", ""lossy networks"", ""bursty packet losses"", ""gilbert-elliot model""]}"
664,"[""english language"", ""news sites"", ""critical thinking"", ""media awareness"", ""digital literacy""]","{""keywords"": [""english language"", ""news sites"", ""critical thinking"", ""media awareness"", ""digital literacy""]}"
665,"[""cauer filter"", ""filter design"", ""3d design"", ""coaxial filter"", ""circuit simulator""]","{""keywords"": [""cauer filter"", ""filter design"", ""3d design"", ""coaxial filter"", ""circuit simulator""]}"
666,"[""neuro-fuzzy"", ""piece-wise-linear"", ""current-mode"", ""block"", ""transistors""]","{""keywords"": [""neuro-fuzzy"", ""piece-wise-linear"", ""current-mode"", ""block"", ""transistors""]}"
667,"[""video streaming"", ""error resilient"", ""intra refresh"", ""h.26l stream"", ""channel simulations""]","{""keywords"": [""video streaming"", ""error resilient"", ""intra refresh"", ""H.26L stream"", ""channel simulations""]}"
668,"[""video transmission"", ""quality of service"", ""diffserv"", ""bandwidth utilisation"", ""mpeg""]","{""keywords"": [""video transmission"", ""quality of service"", ""diffserv"", ""bandwidth utilisation"", ""mpeg""]}"
669,"[""genetic algorithm"", ""mimo systems"", ""controllability"", ""observability"", ""optimisation""]","{""keywords"": [""genetic algorithm"", ""mimo systems"", ""controllability"", ""observability"", ""optimisation""]}"
670,"[""pitch extraction"", ""fuzzy weighting"", ""autocorrelation function"", ""noisy speech"", ""robustness""]","{""keywords"": [""pitch extraction"", ""fuzzy weighting"", ""autocorrelation function"", ""noisy speech"", ""robustness""]}"
671,"[""mean square convergence"", ""lms algorithm"", ""modifier formula"", ""step size"", ""simulations""]","{""keywords"": [""mean square convergence"", ""lms algorithm"", ""modifier formula"", ""step size"", ""simulations""]}"
672,"[""blind identification"", ""non-stationary systems"", ""adaptive algorithm"", ""time-varying channels"", ""instrumental variable""]","{""keywords"": [""blind identification"", ""non-stationary systems"", ""adaptive algorithm"", ""time-varying channels"", ""instrumental variable""]}"
673,"[""quasi-newton algorithm"", ""minor component extraction"", ""stationary sample covariance"", ""adaptive extraction"", ""deflation technique""]","{""keywords"": [""quasi-Newton algorithm"", ""minor component extraction"", ""stationary sample covariance"", ""adaptive extraction"", ""deflation technique""]}"
674,"[""robot trajectory control"", ""neural networks"", ""robot dynamics"", ""recurrent nn"", ""disturbance rejection""]","{""keywords"": [""robot trajectory control"", ""neural networks"", ""robot dynamics"", ""recurrent nn"", ""disturbance rejection""]}"
675,"[""boolean operators"", ""search engine"", ""internet users"", ""information-seeking behavior"", ""naive end-user""]","{""keywords"": [""boolean operators"", ""search engine"", ""internet users"", ""information-seeking behavior"", ""naive end-user""]}"
676,"[""digital-domain"", ""self-calibration"", ""video-rate"", ""pipeline"", ""adc""]","{""keywords"": [""digital-domain"", ""self-calibration"", ""video-rate"", ""pipeline"", ""adc""]}"
677,"[""exponentiation algorithms"", ""smart cards"", ""rsa cryptosystem"", ""side-channel attacks"", ""security concern""]","{""keywords"": [""exponentiation algorithms"", ""smart cards"", ""rsa cryptosystem"", ""side-channel attacks"", ""security concern""]}"
678,"[""fractional delay filter"", ""multipliers"", ""frequency design"", ""multirate structure"", ""nyquist frequency""]","{""keywords"": [""fractional delay filter"", ""multipliers"", ""frequency design"", ""multirate structure"", ""Nyquist frequency""]}"
679,"[""inphotonics"", ""d-type flip-flop"", ""time jitter"", ""gbit"", ""retiming""]","{""keywords"": [""inphotonics"", ""d-type flip-flop"", ""time jitter"", ""gbit"", ""retiming""]}"
680,"[""mathematics education"", ""calculus package"", ""maplets"", ""graphical user interfaces"", ""java environment""]","{""keywords"": [""mathematics education"", ""calculus package"", ""maplets"", ""graphical user interfaces"", ""java environment""]}"
681,"[""data users"", ""data analysis"", ""flexpro 5.0"", ""data documentation"", ""data archiving""]","{""keywords"": [""data users"", ""data analysis"", ""flexpro 5.0"", ""data documentation"", ""data archiving""]}"
682,"[""scholarly publishing"", ""scientific journals"", ""electronic technology"", ""scientific research"", ""university administrators""]","{""keywords"": [""scholarly publishing"", ""scientific journals"", ""electronic technology"", ""scientific research"", ""university administrators""]}"
683,"[""open access"", ""electronic publishing"", ""research dissemination"", ""business transition"", ""nervous anticipation""]","{""keywords"": [""open access"", ""electronic publishing"", ""research dissemination"", ""business transition"", ""nervous anticipation""]}"
684,"[""chemistry"", ""internet"", ""xml"", ""language"", ""documents""]","{""keywords"": [""chemistry"", ""internet"", ""xml"", ""language"", ""documents""]}"
685,"[""scientific computing"", ""algorithmic exchange"", ""warwick university"", ""research assessment"", ""centre for computing""]","{""keywords"": [""scientific computing"", ""algorithmic exchange"", ""warwick university"", ""research assessment"", ""centre for computing""]}"
686,"[""information literacy"", ""critical media literacy"", ""academic libraries"", ""information-literacy skill levels"", ""intellectual activity""]","{""keywords"": [""information literacy"", ""critical media literacy"", ""academic libraries"", ""information-literacy skill levels"", ""intellectual activity""]}"
687,"[""biotechnology"", ""integration"", ""software"", ""innovation"", ""development""]","{""keywords"": [""biotechnology"", ""integration"", ""software"", ""innovation"", ""development""]}"
688,"[""scientific computing"", ""leisure"", ""entertainment"", ""computing"", ""innovation""]","{""keywords"": [""scientific computing"", ""leisure"", ""entertainment"", ""computing"", ""innovation""]}"
689,"[""organizational memory"", ""user-adaptive navigation"", ""information retrieval"", ""intranet portal"", ""human-centred features""]","{""keywords"": [""organizational memory"", ""user-adaptive navigation"", ""information retrieval"", ""intranet portal"", ""human-centred features""]}"
690,"[""user testing"", ""heuristic evaluation"", ""usability problems"", ""performance classification"", ""human factor""]","{""keywords"": [""user testing"", ""heuristic evaluation"", ""usability problems"", ""performance classification"", ""human factor""]}"
691,"[""machine induction"", ""comprehensibility"", ""knowledge structures"", ""induction techniques"", ""decision making""]","{""keywords"": [""machine induction"", ""comprehensibility"", ""knowledge structures"", ""induction techniques"", ""decision making""]}"
692,"[""client-centred team"", ""teamwork profile"", ""generalist knowledge"", ""job factors"", ""teamwork effectiveness""]","{""keywords"": [""client-centred team"", ""teamwork profile"", ""generalist knowledge"", ""job factors"", ""teamwork effectiveness""]}"
693,"[""shape constancy"", ""perspective projections"", ""point-to-point mapping"", ""metric perception"", ""slant underestimation""]","{""keywords"": [""shape constancy"", ""perspective projections"", ""point-to-point mapping"", ""metric perception"", ""slant underestimation""]}"
694,"[""children's reading performance"", ""computer-displayed text"", ""readability"", ""elementary school-age children"", ""typefaces""]","{""keywords"": [""children's reading performance"", ""computer-displayed text"", ""readability"", ""elementary school-age children"", ""typefaces""]}"
695,"[""spatial solutions"", ""office furniture"", ""stress reduction"", ""design needs"", ""staff needs""]","{""keywords"": [""spatial solutions"", ""office furniture"", ""stress reduction"", ""design needs"", ""staff needs""]}"
696,"[""stationery"", ""suppliers"", ""planning"", ""management"", ""stock""]","{""keywords"": [""stationery"", ""suppliers"", ""planning"", ""management"", ""stock""]}"
697,"[""news monitoring"", ""online news"", ""information focus"", ""news resources"", ""cost effective""]","{""keywords"": [""news monitoring"", ""online news"", ""information focus"", ""news resources"", ""cost effective""]}"
698,"[""digital solutions"", ""copier market"", ""multifunctional device"", ""total cost of ownership"", ""office equipment""]","{""keywords"": [""digital solutions"", ""copier market"", ""multifunctional device"", ""total cost of ownership"", ""office equipment""]}"
699,"[""elliptic operator"", ""h-matrix"", ""operator exponential"", ""parabolic solution"", ""linear complexity""]","{""keywords"": [""elliptic operator"", ""h-matrix"", ""operator exponential"", ""parabolic solution"", ""linear complexity""]}"
700,"[""finite volume scheme"", ""nonlinear degenerate parabolic equations"", ""entropy solution"", ""convergence"", ""numerical results""]","{""keywords"": [""finite volume scheme"", ""nonlinear degenerate parabolic equations"", ""entropy solution"", ""convergence"", ""numerical results""]}"
701,"[""hermitian toeplitz systems"", ""circulant preconditioners"", ""conjugate gradient method"", ""linear convergence"", ""numerical analysis""]","{""keywords"": [""hermitian toeplitz systems"", ""circulant preconditioners"", ""conjugate gradient method"", ""linear convergence"", ""numerical analysis""]}"
702,"[""complementarity problems"", ""nonlinear case"", ""validation method"", ""computational test"", ""solutions interval""]","{""keywords"": [""complementarity problems"", ""nonlinear case"", ""validation method"", ""computational test"", ""solutions interval""]}"
703,"[""interactivity"", ""learning outcomes"", ""multimedia environment"", ""learning achievement"", ""attitude""]","{""keywords"": [""interactivity"", ""learning outcomes"", ""multimedia environment"", ""learning achievement"", ""attitude""]}"
704,"[""virtual teams"", ""user satisfaction"", ""trust"", ""job satisfaction"", ""information technology""]","{""keywords"": [""virtual teams"", ""user satisfaction"", ""trust"", ""job satisfaction"", ""information technology""]}"
705,"[""knowledge sharing"", ""social exchange theory"", ""self-efficacy"", ""theory of reasoned action"", ""organizational context""]","{""keywords"": [""knowledge sharing"", ""social exchange theory"", ""self-efficacy"", ""theory of reasoned action"", ""organizational context""]}"
706,"[""chaos theory"", ""information systems"", ""research design"", ""complex evidence"", ""substantive approach""]","{""keywords"": [""chaos theory"", ""information systems"", ""research design"", ""complex evidence"", ""substantive approach""]}"
707,"[""mobile commerce"", ""event management"", ""business processes"", ""customer needs"", ""integrated architecture""]","{""keywords"": [""mobile commerce"", ""event management"", ""business processes"", ""customer needs"", ""integrated architecture""]}"
708,"[""semantic web"", ""taxonomies"", ""ontologies"", ""metadata"", ""hierarchies""]","{""keywords"": [""semantic web"", ""taxonomies"", ""ontologies"", ""metadata"", ""hierarchies""]}"
709,"[""linear equations"", ""conjugate gradient"", ""symmetric positive definite"", ""ill-conditioned matrix"", ""numerical computations""]","{""keywords"": [""linear equations"", ""conjugate gradient"", ""symmetric positive definite"", ""ill-conditioned matrix"", ""numerical computations""]}"
710,"[""inventory management"", ""retail"", ""progress"", ""revenue growth""]","{""keywords"": [""inventory management"", ""retail"", ""progress"", ""revenue growth""]}"
711,"[""vsat"", ""ip-based applications"", ""satellite networking"", ""high-speed connectivity"", ""mission-critical functions""]","{""keywords"": [""vsat"", ""ip-based applications"", ""satellite networking"", ""high-speed connectivity"", ""mission-critical functions""]}"
712,"[""retail"", ""supply-chain"", ""collaboration"", ""barriers"", ""cpfr""]","{""keywords"": [""retail"", ""supply-chain"", ""collaboration"", ""barriers"", ""cpfr""]}"
713,"[""airline scheduling"", ""schedule disruptions"", ""operations research"", ""air traffic"", ""singular perturbation theory""]","{""keywords"": [""airline scheduling"", ""schedule disruptions"", ""operations research"", ""air traffic"", ""singular perturbation theory""]}"
714,"[""airline"", ""schedule"", ""optimisation"", ""annealing"", ""network""]","{""keywords"": [""airline"", ""schedule"", ""optimisation"", ""annealing"", ""network""]}"
715,"[""constraint programming"", ""linear programming"", ""bus driver scheduling"", ""column generation algorithm"", ""optimization""]","{""keywords"": [""constraint programming"", ""linear programming"", ""bus driver scheduling"", ""column generation algorithm"", ""optimization""]}"
716,"[""personnel scheduling"", ""integer programming"", ""lagrangian heuristic"", ""elastic constraint branching"", ""crew pairing""]","{""keywords"": [""personnel scheduling"", ""integer programming"", ""lagrangian heuristic"", ""elastic constraint branching"", ""crew pairing""]}"
717,"[""supply chain optimisation"", ""paper industry"", ""mixed integer program"", ""allocation problem"", ""economic benefits""]","{""keywords"": [""supply chain optimisation"", ""paper industry"", ""mixed integer program"", ""allocation problem"", ""economic benefits""]}"
718,"[""business school"", ""research gap"", ""business people"", ""exemplary research"", ""business executives""]","{""keywords"": [""business school"", ""research gap"", ""business people"", ""exemplary research"", ""business executives""]}"
719,"[""train crew management"", ""roster planning"", ""crew scheduling"", ""optimization model"", ""rail transport""]","{""keywords"": [""train crew management"", ""roster planning"", ""crew scheduling"", ""optimization model"", ""rail transport""]}"
720,"[""cane transport"", ""constraint logic programming"", ""labelling order"", ""scheduling problem"", ""cost savings""]","{""keywords"": [""cane transport"", ""constraint logic programming"", ""labelling order"", ""scheduling problem"", ""cost savings""]}"
721,"[""call centre"", ""staffing levels"", ""arrival rate"", ""performance estimates"", ""historical data""]","{""keywords"": [""call centre"", ""staffing levels"", ""arrival rate"", ""performance estimates"", ""historical data""]}"
722,"[""regional surveillance"", ""flight route"", ""synthetic aperture radar"", ""integer programming"", ""genetic algorithms""]","{""keywords"": [""regional surveillance"", ""flight route"", ""synthetic aperture radar"", ""integer programming"", ""genetic algorithms""]}"
723,"[""delivery planning"", ""service providers"", ""integer programming"", ""column generation"", ""optimization""]","{""keywords"": [""delivery planning"", ""service providers"", ""integer programming"", ""column generation"", ""optimization""]}"
724,"[""sugar cane"", ""selection"", ""operations research"", ""stochastic simulation"", ""dynamic programming""]","{""keywords"": [""sugar cane"", ""selection"", ""operations research"", ""stochastic simulation"", ""dynamic programming""]}"
725,"[""train operator scheduling"", ""optimization approach"", ""bipartite matching algorithm"", ""tabu search algorithm"", ""crew scheduling system""]","{""keywords"": [""train operator scheduling"", ""optimization approach"", ""bipartite matching algorithm"", ""tabu search algorithm"", ""crew scheduling system""]}"
726,"[""integer programming"", ""grobner bases"", ""buchberger algorithm"", ""groebner basis"", ""performance improvement""]","{""keywords"": [""integer programming"", ""grobner bases"", ""buchberger algorithm"", ""groebner basis"", ""performance improvement""]}"
727,"[""convex programming"", ""parallel computation"", ""interior point"", ""multistage problems"", ""path-following algorithm""]","{""keywords"": [""convex programming"", ""parallel computation"", ""interior point"", ""multistage problems"", ""path-following algorithm""]}"
728,"[""project scheduling"", ""time dependent costs"", ""branch and bound algorithm"", ""project compression"", ""optimal schedule""]","{""keywords"": [""project scheduling"", ""time dependent costs"", ""branch and bound algorithm"", ""project compression"", ""optimal schedule""]}"
729,"[""erp systems"", ""client trust"", ""customization"", ""engagement success"", ""responsive service""]","{""keywords"": [""erp systems"", ""client trust"", ""customization"", ""engagement success"", ""responsive service""]}"
730,"[""single machine scheduling"", ""due window"", ""location penalty"", ""dynamic programming"", ""np completeness""]","{""keywords"": [""single machine scheduling"", ""due window"", ""location penalty"", ""dynamic programming"", ""np completeness""]}"
731,"[""network design"", ""facility location"", ""bipartite matching"", ""integer programming"", ""simplex method""]","{""keywords"": [""network design"", ""facility location"", ""bipartite matching"", ""integer programming"", ""simplex method""]}"
732,"[""data mining"", ""business productivity"", ""information acquisition"", ""efficiency"", ""expertise""]","{""keywords"": [""data mining"", ""business productivity"", ""information acquisition"", ""efficiency"", ""expertise""]}"
733,"[""videoconferencing"", ""case studies"", ""distance learning"", ""professional development"", ""storytelling""]","{""keywords"": [""videoconferencing"", ""case studies"", ""distance learning"", ""professional development"", ""storytelling""]}"
734,"[""e-learning"", ""college campus"", ""student learning"", ""online course"", ""case study""]","{""keywords"": [""e-learning"", ""college campus"", ""student learning"", ""online course"", ""case study""]}"
